metric,GATv2,GATv2+Mask,LSTM,EOPKG-WI,EOPKG
validation_candidate_target_score,,,,8.530 ± 0.076,7.158 ± 0.159
validation_candidate_target_set_entropy_mean,,,,0.000 ± 0.000,0.000 ± 0.000
validation_candidate_target_set_logit_variance_mean,,,,0.000 ± 0.000,0.000 ± 0.000
validation_candidate_temperature,,,,0.100 ± 0.000,0.100 ± 0.000
validation_candidate_unseen_candidate_rate,,,,0.000 ± 0.000,0.000 ± 0.000
validation_candidate_unseen_score_mean,,,,0.000 ± 0.000,0.000 ± 0.000
validation_candidate_unseen_target_rate,,,,0.000 ± 0.000,0.000 ± 0.000
validation_candidate_valid_invalid_logit_margin,,,,5.814 ± 0.103,13.645 ± 0.474
validation_candidate_valid_probability_mass,,,,0.967 ± 0.004,1.000 ± 0.000
validation_duplicate_candidate_count_max,,,,1.000 ± 0.000,1.000 ± 0.000
validation_impulse_activation_max_abs,,,,0.000 ± 0.000,6.584 ± 0.912
validation_impulse_activation_mean_abs,,,,0.000 ± 0.000,1.127 ± 0.033
validation_impulse_gnn_oversmoothing_ratio,,,,0.000 ± 0.000,0.887 ± 0.023
validation_impulse_to_base_node_ratio,,,,0.000 ± 0.000,1.679 ± 0.031
